Номер договора,107 ВМ,Дата и время,25.08.26,,,,
Negroni,Сухой джин,30,Олд Фешен,Крафт куб+оттск,Стир,Цедра апельсина,Охладить бокал подачи жидким азотом. В охлажденный бокал налить все ингредиенты. Наполнить бокал льдом до краев. Перемешать до однородности с помощью барной ложки в течении 90 секунд. Отжать цедру апельсина на поверхность коктейля. Свернуть цедру в твист и украсить ей коктейль. Подавать без трубочек.
,Красный вермут,30,,,,,
,Лигаре Биттер,30,,,,,
Mojito,Белый ром,40,Хайболл,Краш,Мадл+Свизл,Ведж лайма+Пучок мяты,"Охладить бокал подачи жидким азотом. В охлажденный бокал подачи положить 4 веджа лайма. Размять их с помощью мадлера, выдавив весь сок. Добавить листья мяты. Налить ром и сахарный сироп. Аккуратно помять мяту. Насыпать колотый лед до края бокала. Налить газированную воду. Размешать до однородности, распределив мяту и лайм равномерно по всему бокалу. Сверху насыпать горку колотого льда. Украсить веджем лайма и пучком мяты. Подавать с двумя трубочками "
,п/ф Сахарный сироп,20,,,,,
,Газированная вода,60,,,,,
,Лайм,50гр (1/2 лайма),,,,,
,Мята (свежая),5гр (10 листиков),,,,,
Old Fashioned,Бурбон,45,Олд Фешен,Крафт куб+оттиск,Мадл+Стир,Цедра апельсина,"Охладить бокал подачи жидким азотом. В охлажденный бокал полочить кубик тростникового сахара. Пропитать его ангостурой. С помощью мадлера размять кубик. Добавить 10мл содовой. Хорошенько перетереть сахар, полностью его растворив. Налить в бокал виски. Размешать до однородности. Наполнить бокал льдом до краев. Размешать барной ложкой, раскручивая лед в бокале в течении 90 секунд. Отжать цедру апельсина на поверхность коктейля. Свернуть цедру в твист и украсить ей коктейль. Подавать без трубочек."
,Биттер Ангостура,3 дэша,,,,,
,Сахар рафинад,5 гр (1 кубик),,,,,
Gin Tonic,Сухой джин,40,Хайболл,Кубик,Билд,Ринг лимона,Охладить бокал подачи жидким азотом. Охлажденный бокал подачи наполнить до краев льдом. Налить все ингредиенты в бокал. Перемешать до однородности барной ложкой. Украсить рингом лимона. Подавать без трубочек
,Тоник,120,,,,,
