Номер договора,112 ВМ,Дата и время,24.08.26,,,,
Тейбл-тент А5,,,,,,,
Тейбл-тент НОВЫЙ (Светильник + магнитик),,,,,,,
Цветы искуственные Розовые,,,,,,,
Цветы искуственные Желтые,,,,,,,
Вазы для цветов,,,,,,,
Ширма,,,,,,,
Свечи  электрические,,,,,,,
Креманки металлические,,,,,,,
Стакан резной толсое стекло под трубочки,,,,,,,
Мебель,,,,,,,
Стойка ЧЕРНАЯ Барная,,,,,,,
- Основа,,,,,,,
- Накладки на столещницу 2 шт,,,,,,,
- Раковина,,,,,,,
- Спидрек,,,,,,,
- Бутылка под слив 19л,,,,,,,
Стойка БЕЛАЯ Барная,,,,,,,
- Столешница барная,,,,,,,
- Фронтальная часть,,,,,,,
- Спидрек,,,,,,,
- Боковые части 2 шт,,,,,,,
- Рабочая поверхность,,,,,,,
- Нижняя полка,,,,,,,
Стеллаж вертикальный,,,,,,,
- Стеллаж,,,,,,,
- Полки,,,,,,,
Стеллаж Лесенка (металл-дерево),,,,,,,
Стол Складной (Длинный),,,,,,,
Столик коктейльный,,,,,,,
- Столик,,,,,,,
- Чехол на столик,,,,,,,
Документы,,,,,,,
Чек-лист (КОПИЯ),Отдать сотрудникам с собой,,1.0,,,,
Распечатка раскладки,Отдать сотрудникам с собой,,1.0,,,,
Карта упаковки и погруз места,Отдать сотрудникам с собой,,1.0,,,,
Паспорта сотрудников,2 шт.,На всякий случай — по брифу,,,,,
,,,,,,,
Отметка ответственного,,,Составлял:,,Погружено:,Принял:,Подсчитал:
,,Фамилия И.О.  ,,,,,
,,Подпись  ,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
